Date,Hours,High,Low,Close,Volume,Nikki=5,Leqi=10,Jelmer=15,Maas=20,Coach,External,Title,Type,Description
2023-05-16,3,3,0,0,4,1,1,1,1,FALSE,FALSE,Visualization definition,Concept Development,"We defined the requirements of our visualization of the data we collect. We checked out some programs and made a plan of approach to do this, and with what program."
2023-05-15,1,1,0,0,4,1,1,1,1,FALSE,FALSE,Documenting data,Organization,We have started to use our benchmark cards to document data for the project
2023-05-15,6,6,25,25,5,1,FALSE,FALSE,1,FALSE,FALSE,Making website benchmark,Prototype Building,Together we finished the website building of the cards. Some struggles
2023-05-15,0.25,0.25,15,15,4,FALSE,FALSE,1,FALSE,FALSE,FALSE,Sending ERB,Testing,Sending the signed ERB form to the Ethical Review Board to be approved.
2023-05-13,1,1,0,0,5,1,1,1,1,FALSE,FALSE,Meeting,Organization,We had a small unorganized meeting on what we would present to mathias
2023-05-13,3,3,0,0,5,1,1,1,1,FALSE,FALSE,Starting the data collector,Prototype Building,We started programming the data collector tool in P5js. We started working in Github too.
2023-05-12,0.5,0.5,0,0,5,1,1,1,1,1,FALSE,Coach meeting,Evaluating,"Coach meeting with Mathias again, was very nice he was happy with what we did!"
2023-05-12,1,1,15,15,3,FALSE,FALSE,1,FALSE,1,FALSE,Signign ERB,Testing,Changing the ERB to fit the new set-up of data collection. Making sure that the document is signed and that the PDF is correct. Sending the PDF to Mathias. 
2023-05-12,1,1,15,15,2,FALSE,FALSE,1,FALSE,FALSE,FALSE,Participant informed consent form,Testing,Creating and rewriting the participant informed consent form for the data collection. Proofreading the document to make sure it i correct 
2023-05-12,1,1,15,15,5,FALSE,FALSE,1,FALSE,FALSE,1,Finding participants,Testing,Messaging and talking to people I know in order to get them to participate in the final test. 
2023-05-11,3,3,0,0,3,1,1,1,1,FALSE,FALSE,Making the data cards,Brainstorm / Ideate,We worked on the benchmark cards in miro
2023-05-11,2,2,15,15,4,FALSE,FALSE,1,FALSE,FALSE,FALSE,Researching Analytic Induction,Background Research,Looking into Analytic Induction in order to see if it works for the way we analyzed the workshop.
2023-05-10,2.5,2.5,15,15,2,FALSE,FALSE,1,FALSE,FALSE,FALSE,Making the ERB for the datacollection,Testing,Filling out the ERB for the data collection in the final weeks. 
2023-05-09,2,2,15,15,4,1,FALSE,1,1,FALSE,FALSE,MVP,Concept Definition,We defined the MVP of our project. What are the minimal requirements and what are more 'nice to haves'. This was a n idea of Nick that we got in our last meeting with him.
2023-05-09,1,1,0,0,4,1,1,1,1,FALSE,FALSE,MVP,Prototype Building,We filled in the MVP to determine what to start collecting data wise
2023-05-04,3,3,15,15,4,FALSE,FALSE,1,FALSE,FALSE,FALSE,Working on the workshop protocol ,Analyzing,"Working on making the workshop protocol, as to make sure that the working of the protocol has been typed out.Came as far as the setup of the workshop"
2023-05-03,1,1,0,0,5,1,1,1,1,1,FALSE,Meeting with Nick 2,,"We discussed the results of our study with Nick. We talked about our next steps. Nick suggested to make an MVP and that it would be a good idea to start tracking different project groups and collect data. He also said we should document the study very well, because the results are interesting."
2023-05-02,3,3,0,0,4,1,1,1,1,FALSE,FALSE,Analyzing study data,Analyzing,"We together analyzed the results of the study we did the previous week. Each person had a different task of analyzation (like first reflection, timeline making, and second reflection). We summed up the conclusions in our Miro board."
2023-04-26,4,4,0,0,5,1,1,1,1,FALSE,1,Workshop,Validating,We did two sessions of workshops that we designed before.
2023-04-25,2,2,0,0,4,1,1,1,1,FALSE,1,Pilot study,Evaluating,"Pilot study of our workshop, with two participants"
2023-04-25,1,1,0,0,4,1,1,1,1,FALSE,FALSE,Reflecting on pilot study,Evaluating,Reflecting on the pilot study we did and making some changes accordingly. Mostly in the Menti meter.
2023-04-21,3,3,10,10,4,FALSE,1,FALSE,FALSE,FALSE,FALSE,Making the menti,Prototype Building,Making the menti for the pilot study
2023-04-20,1,1,0,0,4,1,1,1,1,1,FALSE,Coach meeting Nick 1,Validating,"We discussed with Nick our workshop approach. He looked at our setup and gave some feedback, but overall said it looked okay for what we want to research. Nick highly suggested to do a pilot study."
2023-04-16,1,1,25,25,4,1,1,FALSE,FALSE,FALSE,FALSE,Presentation making,Prototype Building,For the study/workshop we made a presentation to show. It contains the questions of the workshop.
2023-04-01,2,2,25,25,4,1,FALSE,1,FALSE,FALSE,FALSE,preparing of the pilot,Organization,preparing specifics for the pilot
2023-03-24,4,4,0,0,4,1,1,1,1,1,1,midterm demo day,Organization,
2023-03-21,4,4,25,25,4,1,1,FALSE,FALSE,FALSE,FALSE,Visual demonstrator  (our project),Validating,
2023-03-21,4,4,25,25,4,FALSE,FALSE,1,1,FALSE,FALSE,Technical demonstrator,Validating,
2023-03-17,2,2,0,0,4,1,1,1,1,1,FALSE,coach session,Concept Development,discuss the cocept
2023-03-14,2,2,0,0,3,1,1,1,1,FALSE,FALSE,decide the topic,Brainstorm / Ideate,decide the topic AI for Creative Collaborations and explore in facilitating iterative collaboration
2023-03-14,4,4,0,0,5,1,1,1,1,FALSE,FALSE,scoping the design concept,Concept Definition,define input & output
2023-03-10,3,3,0,0,4,1,1,1,1,1,FALSE,coach session,Organization,PDP 
2023-03-08,4,4,0,0,5,1,1,1,1,FALSE,FALSE,luke workshop: prototyping everyday AI,Prototype Building,4 lofi concept 
2023-03-07,4,4,0,0,4,1,1,1,1,FALSE,FALSE,workshop: Short design sessions with observer,Prototype Building,knowledge\ncollaboration\nprototype\nevaluation
2023-03-03,3,3,0,0,2,1,1,1,1,1,FALSE,session reflection,Analyzing,go hands-on\nwhy do that?\nand How does it go beyond just shaping product?\nWhen do you need this
2023-03-02,1,1,10,10,5,FALSE,1,FALSE,FALSE,FALSE,FALSE,Mouse of clay,Testing,3D prototyping upgrader Lo-fi / hi-fi
2023-03-02,3,3,20,20,3,FALSE,FALSE,FALSE,1,FALSE,FALSE,Mouse of foamboard,Testing,3D prototyping upgrader\nLo-fi / hi-fi
2023-03-02,4,4,5,5,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,Mouse of foam,Testing,3D prototyping upgrader\nLo-fi / hi-fi
2023-03-02,2,2,15,15,3,FALSE,FALSE,1,FALSE,FALSE,FALSE,Mouse of paper maché,Testing,3D prototyping upgrader\nLo-fi / hi-fi
2023-02-28,3,3,0,0,3,1,1,1,1,FALSE,FALSE,discuss where do we apply 3D in design,Analyzing,
2023-02-27,2,2,0,0,4,1,1,1,1,FALSE,FALSE,The worked out AI examples,Brainstorm / Ideate,envisioning AI as collaborator in different modes
2023-02-17,3,3,0,0,3,1,1,1,1,FALSE,FALSE,session benchmark,Analyzing,Categorizing within benchmark  
2023-02-17,1,1,0,0,3,1,1,1,1,1,FALSE,first coaching,Evaluating,What does collaboration mean?\nWhat role does a team member take
2023-02-16,3,3,5,5,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,looking for relevant projects,Background Research,make benchmark
2023-02-16,3,3,10,10,2,FALSE,1,FALSE,FALSE,FALSE,FALSE,looking for relevant projects,Background Research,make benchmark
2023-02-16,3,3,15,15,3,FALSE,FALSE,1,FALSE,FALSE,FALSE,looking for relevant projects,Background Research,make benchmark
2023-02-16,3,3,15,15,5,FALSE,FALSE,1,FALSE,FALSE,FALSE,looking for relevant projects,Background Research,make benchmark
2023-02-16,3,3,20,20,5,FALSE,FALSE,FALSE,1,FALSE,FALSE,looking for relevant projects,Background Research,make benchmark
2023-02-13,2,2,5,5,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,squad topics in persona interest,Background Research,"find inspiration, desk research"
2023-02-13,2,2,10,10,3,FALSE,1,FALSE,FALSE,FALSE,FALSE,squad topics in personal interest,Background Research,"find inspiration, desk research"
2023-02-13,2,2,15,15,5,FALSE,FALSE,1,FALSE,FALSE,FALSE,squad topics in personal interest,Background Research,"find inspiration, desk research"
2023-02-13,2,2,20,20,4,FALSE,FALSE,FALSE,1,FALSE,FALSE,squad topics in personal interest,Background Research,"find inspiration, desk research"